User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
wowerzagain,6969,Platinum 1,Flex,2.0,1.0,0.0,0.0
Dailoo,dailo,Platinum 3,Sentinel,0.8146,6.0,12.1785,40.2
dog,wutda,Diamond 2,Flex,1.033,6.4,27.9822,49.4
benji,ROSIE,Platinum 2,Controller,0.8144,12.2,19.8878,60.4
Jonatron726,2828,Diamond 1,Flex,0.9356,4.6,8.4186,13.6
웃Blitz웃,333,Diamond 1,Flex,1.1014,8.2,13.0555,58.4
Dohi,LMAO,Immortal 1,Initiator,0.8701,5.2,18.8737,47.2
Lunarchicken,69420,Platinum 1,Duelist,0.739,5.4,15.1424,37.0
iron8946,6088,Platinum 2,Controller,0.5748,6.6,9.5273,54.8
A Classy Turtle,NA1,Diamond 2,Duelist,1.1014,6.0,11.4586,42.2
Era,Time,Silver 2,Duelist,1.0259,3.6,6.5763,20.8
SIN,zom,Diamond 3,Sentinel,1.4327,3.6,22.97,44.0
guppy,8008,Diamond 2,Duelist,1.0133,2.4,28.8842,41.8
xay,high,Gold 1,Duelist,3.0967,4.0,23.6444,26.2
mike,ikkou,Diamond 2,Duelist,1.3497,3.4,31.4547,44.0
WheezyFBaby,NA1,Diamond 3,Flex,2.1389,14.0,16.7873,53.0
Guardian,b009,Diamond 1,Flex,0.6768,5.4,18.1399,47.0
Wabgou,1127,Immortal 1,Flex,0.8799,5.0,4.6429,17.2
koopa,koop,Immortal 1,Duelist,2.89,1.4,36.2685,14.2
IamDemmer,NA1,Silver 3,Flex,1.1155,4.6,14.1239,23.4
jcb,000,Diamond 3,Duelist,1.2202,5.4,21.6193,44.4
Juzo,0514,Platinum 1,Flex,1.1395,6.6,0.0,0.0
FuNCoLa,3035,Diamond 2,Flex,2.0275,6.0,7.7143,18.6
BinoChad,1738,Diamond 1,Flex,0.7855,5.6,17.464,55.6
icyurnvnme,NA1,Diamond 1,Flex,0.9543,1.5,22.7922,29.5
QtBum,NA1,Diamond 2,Sentinel,0.9375,5.0,22.3064,35.4
ElCrack,cra,Diamond 3,Flex,1.5984,3.8,11.5152,17.0
Osca32,NA1,Platinum 3,Flex,1.0897,4.6,8.9501,44.0
eddie,2222,Silver 2,Flex,0.8864,4.0,14.5714,14.8
Ted25,6925,Platinum 3,Flex,0.6863,4.6,13.7349,37.8
syn,dry,Silver 3,Flex,1.1173,4.8,8.5833,20.8
robert,0000,Platinum 1,Duelist,0.7538,2.6,15.1743,24.4
Dondo,San,Immortal 2,Duelist,0.9357,3.0,22.8635,46.4
PAIN,g599,Immortal 1,Flex,1.2697,6.4,23.6811,34.8
UKI daddy,zoe,Diamond 3,Duelist,1.3239,4.2,27.7291,39.6
stef,4PF,Diamond 1,Controller,0.8291,5.2,18.3806,33.0
Ａｌｅｘ,NA123,Diamond 2,Flex,1.096,1.3333,16.0781,23.3333
Splatt,DRAIN,Diamond 3,Duelist,1.1497,5.2,14.228,17.2
doriftoh,GLOCK,Diamond 1,Initiator,0.8028,6.0,23.4603,40.2
KNOCKSTEADY,420,Platinum 3,Duelist,0.8925,9.0,16.7406,65.8
EXIL3,ะะぷ,Platinum 2,Flex,1.4388,2.6,7.2,6.0
ohz,ttv,Immortal 1,Duelist,1.4925,3.8,33.0811,35.4
winnie,Itzy,Immortal 1,Sentinel,1.0535,3.4,24.2499,44.8
Walros,NA1,Platinum 3,Controller,0.8742,7.4,7.3529,44.2
pugwuvr,1951,Diamond 1,Initiator,1.012,5.2,19.711,38.4
002002,4199,Bronze 2,Duelist,1.3897,1.8,13.2127,23.8
Cobalt,457,Platinum 2,Flex,NaN,NaN,NaN,NaN
ALEX TF UP,RATIO,Immortal 1,Initiator,1.0261,7.0,16.6792,43.4
szerbias42,4823,Diamond 1,Initiator,1.2377,2.0,27.5259,20.4
BatMan,8008,Gold 2,Flex,1.2926,2.6,17.1622,20.8
ethan,cait,Immortal 1,Duelist,0.6867,1.2,17.7811,17.0
waifu,sorry,Diamond 3,Flex,1.0133,3.8,20.0257,45.0
HUEHUEHUEHUEHUEH,LULUL,Immortal 1,Duelist,1.1094,3.6,19.6169,36.8
Bless Up,81355,Diamond 2,Flex,0.8404,4.2,10.7232,55.8
Gong,fart,Platinum 3,Flex,0.4308,10.5,11.0632,52.5
K3ANU,EMPRR,Immortal 1,Flex,1.5135,6.4,25.7841,51.0
warmup account,oars,Immortal 1,Duelist,1.137,5.2,32.8186,41.6
hatbeanie,NA1,Diamond 3,Controller,0.8549,5.8,14.873,31.2
hayze,007,Diamond 2,Duelist,0.9057,5.2,27.6864,45.6
GO Skittzzz,1337,Diamond 1,Initiator,0.8831,3.4,10.0833,10.0
hello kitty,ruff,Immortal 1,Flex,0.87,8.4,25.9278,52.4
Thakie123,6256,Diamond 2,Controller,0.8605,9.2,8.7546,20.2
fblyte,0821,Bronze 2,Flex,0.622,3.0,17.9304,21.6
Serbie,3377,Diamond 1,Controller,0.9428,8.4,24.4469,55.4
Iraijya,3816,Silver 1,Flex,1.2286,4.8,11.596,24.4
NXUS Ashy,NEXUS,Gold 2,Flex,0.8458,4.2,10.8333,13.4
yor,beep,Gold 3,Flex,1.115,5.4,17.1268,26.6
Lolbot,0210,Diamond 2,Flex,1.0787,2.2,25.8824,41.6
B0ba,weeb,Gold 3,Controller,1.4583,3.4,17.9045,29.0
FIDs azien,smd,Diamond 2,Flex,1.058,4.2,16.3896,31.2
Paisen,NA01,Gold 1,Flex,1.0465,6.2,0.0,0.0
BotIan,8865,Platinum 2,Sentinel,0.7907,4.4,17.3534,37.8
azeri,0622,Diamond 1,Flex,0.9458,3.2,19.0101,41.0
Thakie123,6256,Diamond 2,Controller,0.7571,4.6,8.7546,20.2
Vooby,Booby,Immortal 1,Flex,0.8131,5.8,18.3656,71.6
BabyJMD,5427,Immortal 1,Controller,1.1874,7.4,20.3941,55.4
iso,oni,Diamond 2,Sentinel,1.3623,3.0,27.7126,47.0
Jeanquavis,6969,Diamond 3,Duelist,1.4518,3.25,17.5305,35.5
Fawk3s,0000,Immortal 1,Flex,0.8626,7.6,15.9693,49.8
EvilMorti,BBO,Gold 3,Flex,0.9993,5.8,14.023,24.0
Crypt,2323,Diamond 1,Duelist,0.9267,5.4,11.4846,16.8
Kitsu,amy,Diamond 3,Controller,1.1094,5.2,21.2805,51.0
em ơi,cac,Immortal 2,Flex,1.2199,4.0,13.4394,23.0
ratmatic,RTMET,Diamond 3,Initiator,0.7215,6.8,29.5394,54.6
bcn,bacon,Diamond 2,Flex,NaN,NaN,NaN,NaN
Yamato,972,Diamond 1,Controller,1.0921,5.2,24.0213,36.4
open your eyes,666,Diamond 1,Initiator,0.8387,3.8,21.4498,23.2
 친구,KOR,Diamond 1,Duelist,1.1822,3.8,25.725,29.2
SEN TenZ,09090,Diamond 1,Duelist,0.9297,3.6,14.7429,41.4
FLAGGED102938485,fart,Diamond 1,Sentinel,1.5523,3.4,18.0924,46.2
boosted,NA999,Diamond 2,Sentinel,0.7049,3.4,23.0909,30.2
Misfit,DMNS,Diamond 3,Duelist,1.0018,3.2,6.2562,14.0
Bard with Skates,Bard,Diamond 3,Flex,0.7625,14.5,11.6038,59.0
Models,gosu,Diamond 3,Flex,1.345,6.0,3.2653,6.0
M0M0,NA2,Silver 3,Flex,0.7303,5.2,5.2814,13.6
CompleteLuck,3416,Gold 2,Duelist,1.1636,8.4,11.5785,53.6
KnifEZ,EGO,Immortal 3,Flex,0.9704,2.4,7.5499,18.8
Victor,GGEZ,Platinum 1,Flex,1.1625,5.8,13.8333,21.2
Amateur,FPS,Immortal 1,Flex,0.8562,4.6,21.902,23.4
Omega,20fps,Diamond 3,Duelist,0.7491,3.8,30.7652,45.6
DRASIL,YGG,Immortal 3,Sentinel,1.5423,3.4,21.3173,39.8
gary,gamer,Diamond 3,Duelist,1.3058,5.0,34.7852,25.8
ILoveDilfs,1746,Diamond 2,Controller,1.0512,4.2,32.5581,52.4
butthole,oWo,Diamond 1,Duelist,1.3491,6.0,24.1292,49.6
Pyr3X,999,Diamond 3,Controller,0.8742,5.8,9.2587,36.2
DONDONTIKI,TIKI,Diamond 1,Initiator,1.1431,8.2,11.8646,49.2
Huskke,3186,Diamond 1,Flex,0.75,2.0,0.0,0.0
dooochie,4200,Silver 2,Initiator,0.908,2.6,6.1324,21.8
jnfxt,loser,Immortal 1,Flex,0.9231,1.0,38.7097,45.0
rajak,1111,Diamond 2,Duelist,1.0498,5.6,18.0277,45.2
BringDeJuice,NA1,Immortal 2,Initiator,0.8579,5.6,24.9212,47.4
MSTA,92X,Immortal 2,Flex,1.2046,6.4,22.7781,64.2
gee,730,Silver 2,Controller,0.7099,6.0,6.3948,35.6
InstalockSage,11111,Diamond 1,Flex,NaN,NaN,NaN,NaN
NaCl,uWu,Diamond 2,Sentinel,0.9525,5.75,16.929,44.0
kArtian,BOSS,Platinum 2,Controller,1.1702,7.2,20.576,44.6
Europa,0124,Diamond 2,Initiator,0.688,3.8,9.9548,29.2
GUAF,4065,Immortal 1,Flex,NaN,NaN,NaN,NaN
IluZ 2RUSH,TTV,Immortal 1,Duelist,0.6254,2.4,1.3889,9.2
ilostcustody09,child,Diamond 3,Flex,0.8837,5.8,23.6866,59.6
Karizmah,RAJA,Immortal 1,Flex,1.0226,4.8,23.635,42.4
Akeno Himejima,悪魔の妻,Diamond 3,Duelist,0.9554,2.6,28.833,46.4
Phorkz,NA1,Diamond 1,Flex,0.75,12.0,23.0769,56.0
hanabi,pew,Platinum 1,Initiator,0.7826,6.2,7.1303,19.6
Senya,VON,Platinum 3,Flex,0.9883,4.8,11.3593,26.4
QtBum,NA1,Diamond 2,Sentinel,0.8963,5.6,23.5072,34.2
rawrOSO,0000,Platinum 1,Initiator,1.0965,5.4,2.9268,9.8
CertifiedBoyLvr,BLOVR,Immortal 1,Flex,0.8198,3.2,7.1692,21.6
bobthefart,IM13,Diamond 2,Duelist,0.9899,7.6,13.6428,44.8
Brody,4333,Gold 3,Flex,1.1257,6.2,2.7397,11.4
Quicks,000,Immortal 2,Flex,0.6281,1.2,6.1149,21.0
Zebis,Free,Diamond 2,Flex,1.2036,6.6,7.1365,24.2
Noble,BOOP,Diamond 2,Duelist,1.0895,4.0,19.5195,46.6
OxygenInhaler,6503,Diamond 1,Flex,1.0594,5.6,27.8134,43.8
Sausten,1337,Diamond 2,Duelist,1.3704,7.8,14.8857,29.8
Green tree,Plant,Platinum 1,Flex,0.8914,2.2,19.845,10.0
joon,3062,Diamond 1,Sentinel,2.0137,2.6,9.3727,26.0
MK Snuffalo,mada,Immortal 1,Flex,1.8274,5.6,21.9962,64.4
Condi,6959,Immortal 1,Initiator,0.9088,6.6,26.9485,54.2
REET,GDK,Diamond 3,Sentinel,0.9475,7.8,17.9441,56.0
stimmy,0690,Diamond 2,Flex,1.3793,3.0,0.0,0.0
jdn,111,Diamond 3,Duelist,0.6958,2.0,19.1076,14.2
girth,999,Immortal 2,Initiator,1.0876,8.2,22.0652,54.6
Cat Ears,NA1,Diamond 2,Initiator,0.7625,6.2,19.2446,35.4
egroF,4004,Gold 2,Flex,0.7497,3.8,9.1748,45.2
Dreyvok,Emrys,Diamond 2,Duelist,0.8523,3.8,20.8738,37.4
Don,2002,Immortal 3,Sentinel,1.395,3.8,22.3697,28.8
SuperLight Teed,hehe,Diamond 3,Duelist,1.2373,4.0,24.0133,43.4
Jeanquavis,6969,Diamond 3,Duelist,1.416,2.6,14.0244,28.4
kerbecs,gddog,Diamond 1,Flex,1.3585,3.0,31.0083,42.8
Strafe,PuGs,Platinum 2,Flex,0.8044,4.8,16.8191,58.6
arvadarv,3606,Immortal 1,Controller,1.0907,6.4,14.4176,40.8
HazMaster,6969,Diamond 3,Flex,0.772,6.0,10.0,16.0
ShiestyySZNN,TTV,Diamond 2,Flex,NaN,NaN,NaN,NaN
Akhtoom,ntkmi,Diamond 2,Duelist,0.7863,7.0,11.5083,45.4
KawaiiGamerGirl,0001,Gold 2,Duelist,1.1156,3.6,9.8467,11.0
GUARD Sayaplayer,HJW,Immortal 3,Flex,2.0128,2.6,0.0,0.0
