User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
joshisca,42069,Bronze 1,Initiator,0.7507,3.8,6.4011,13.6
Scythe,6942,Silver 2,Controller,1.0242,4.8,12.7936,45.0
ruhrohraggy12,5103,Bronze 1,Duelist,0.51,1.8,9.4032,6.0
Parker,paka,Gold 1,Duelist,0.7967,8.0,11.0374,32.4
Incursio777,NA1,Silver 2,Flex,6.6667,1.0,26.3462,23.0
Kaitastrophic,money,Gold 1,Sentinel,1.9078,4.6,12.1818,18.0
Lynn,1333,Bronze 1,Duelist,0.8334,5.4,3.4689,15.0
Nyx,143,Silver 3,Initiator,1.0169,7.6,5.4575,19.0
Boban,4847,Bronze 2,Duelist,0.6716,3.2,5.2284,19.0
FruityTM,NA1,Silver 3,Duelist,1.1339,5.0,10.7055,22.6
TQTAL,5909,Silver 3,Flex,1.0751,3.8,14.2575,32.2
HiFi,BOFA,Silver 3,Flex,1.298,3.2,8.7765,31.8
Parmesan,2424,Gold 2,Duelist,1.3733,4.2,8.4837,6.6
LightAlucard,NA1,Silver 1,Sentinel,0.79,4.4,5.7537,22.0
Goldfish,4028,Bronze 3,Flex,1.396,2.2,8.8203,18.4
LoFu,5556,Iron 2,Initiator,0.3354,4.6,6.0151,6.8
SIMPFORJENNI,00666,Bronze 3,Initiator,2.2077,3.2,6.4498,14.2
Tweed,6480,Silver 2,Sentinel,1.919,5.0,23.8031,13.6
BOXBOX1,NA1,Bronze 3,Duelist,0.8175,4.0,17.4451,33.2
ariston,777,Diamond 2,Sentinel,1.0258,4.0,25.5807,34.2
RiskLovesMe,0210,Bronze 1,Duelist,1.4703,4.4,7.9938,15.6
LeQuackersGalore,NA1,Gold 1,Initiator,0.8717,6.8,10.8405,39.2
Jish,4455,Gold 1,Sentinel,1.1814,1.8,24.5622,34.8
nuggetron,UwU,Iron 3,Flex,0.8603,4.8,6.9309,24.8
SushiSaurusx,NA1,Gold 1,Flex,1.0163,5.2,10.5994,32.2
JNZYRR,uiui,Silver 1,Duelist,1.0975,5.0,22.606,38.4
Mute0101,5325,Gold 1,Duelist,1.3268,5.6,16.351,54.2
Griffith,999s,Bronze 2,Duelist,1.3416,2.6,24.1469,42.4
xDirtyRatx,NA1,Bronze 2,Controller,0.9108,5.4,15.5191,32.6
BonQuiQui,MP2,Gold 2,Sentinel,1.0661,6.6,3.8877,7.2
Prince,xHori,Bronze 2,Duelist,1.1037,4.8,13.5107,33.2
Bingus,5554,Iron 2,Flex,1.0057,5.8,21.979,19.4
Gimmix,4747,Bronze 3,Duelist,0.6663,4.6,7.3866,37.8
Nuge,3901,Iron 3,Controller,0.6126,1.8,5.1683,10.0
Poo Berries,yaya,Bronze 1,Duelist,1.2118,3.8,12.6423,33.2
AIR,3227,Bronze 3,Duelist,1.7857,2.4,40.0212,37.6
blueberry,PROD,Gold 3,Initiator,2.1526,5.4,22.3352,23.8
Sortaredd,3771,Silver 3,Duelist,1.0288,5.4,5.579,21.4
indatonka,9772,Gold 1,Flex,1.8042,4.6,13.9084,32.4
ricebun,6175,Diamond 1,Initiator,1.9057,5.6,22.7164,31.0
Razerback02,7025,Bronze 2,Duelist,1.3016,4.8,12.4442,45.0
WhoIsSparky,NA1,Silver 1,Duelist,1.0511,3.8,9.971,40.4
Sense,1212,Bronze 1,Duelist,1.0182,5.2,5.3684,38.0
Mook,8840,Gold 3,Controller,1.0452,7.0,8.5758,41.0
Davinale,srey,Platinum 1,Initiator,0.8551,7.0,8.4405,33.2
Esacookie69,8541,Bronze 2,Sentinel,1.2914,4.2,18.2965,62.2
blazy susan,weed,Silver 2,Flex,1.2733,4.8,16.4604,34.4
DO WHAT EXCITES,hana,Platinum 1,Duelist,0.4986,2.2,23.2357,15.8
Sith,7777,Silver 1,Duelist,1.008,3.6,12.2691,35.2
Kry,9725,Bronze 3,Flex,0.6611,4.8,14.6146,25.8
Mulan,6804,Iron 3,Sentinel,1.4878,2.4,18.3681,18.0
swstealth,NA1,Silver 1,Sentinel,0.9831,6.8,6.0414,19.8
Fate,soul,Bronze 2,Flex,1.589,5.6,13.177,47.4
Rice,7789,Bronze 3,Flex,1.3768,3.2,13.7862,39.4
LunarFuFu,8944,Bronze 1,Flex,0.4333,5.3333,5.4367,24.6667
