User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
al4k,1752,Immortal 3,Duelist,1.2111,5.4,28.492,37.2
fishblubattack24,stink,Gold 3,Flex,1.0833,0.0,0.0,0.0
After Hanabi,0001,Platinum 3,Flex,1.0759,7.8,5.0847,8.4
mommymilkers,2002,Platinum 2,Flex,0.9148,3.8,12.5808,38.4
DRASIL,YGG,Immortal 3,Flex,1.4492,4.0,21.3946,43.4
Dispel Xeetii,naru,Radiant,Flex,1.0572,5.2,36.2545,50.6
contii,KEKW,Radiant,Initiator,1.4222,3.2,10.2923,23.6
SpiderBlade,6969,Bronze 1,Flex,0.8269,3.0,12.8079,8.2
DMO,818,Immortal 2,Duelist,1.22,4.0,30.9517,58.0
IMFLANKING,IDC,Diamond 3,Flex,1.125,4.2,3.5644,8.8
C9 Xeppaa,XITER,Radiant,Flex,1.2083,8.0,23.2795,68.5
ino,000,Radiant,Initiator,0.8011,5.2,31.1133,52.4
Tora,777,Immortal 3,Initiator,0.9705,7.2,23.5623,52.4
hyphine,1337,Immortal 3,Flex,1.2811,6.4,19.8788,50.0
verilyx,BMG,Immortal 3,Duelist,0.8479,4.6,21.5865,55.2
fish69,fishy,Bronze 2,Controller,0.8614,5.8,9.4909,30.0
Orsted,muten,Platinum 3,Initiator,0.9507,2.6,5.2632,4.0
s0da,5gum,Immortal 3,Flex,0.9079,6.6,19.3793,39.2
light,edits,Immortal 3,Initiator,1.1406,4.8,20.1146,43.4
Chinese Shrug,8965,Immortal 3,Controller,1.5377,6.8,22.7428,76.2
idnPL,seif,Radiant,Flex,1.2071,5.4,5.6746,23.2
NXBLE,playa,Immortal 3,Duelist,1.2467,3.2,22.046,48.2
Monarch,boom,Immortal 2,Flex,NaN,NaN,NaN,NaN
earl,stank,Immortal 2,Flex,1.1446,5.6,20.2731,52.8
karizma,7289,Immortal 3,Duelist,1.06,5.2,14.8389,37.6
sati,ily,Immortal 2,Duelist,1.585,3.0,14.5769,20.0
jwr,washd,Radiant,Duelist,1.4359,5.8,27.0887,61.0
Tkaz,deez,Radiant,Flex,1.3047,4.6,18.4451,41.4
cub,111,Immortal 2,Flex,1.5155,2.0,17.9167,15.6
3pithy,8306,Immortal 2,Flex,NaN,NaN,NaN,NaN
starry,yikes,Immortal 3,Flex,0.4835,3.6667,30.7692,39.6667
Corolla,NA1,Immortal 3,Duelist,1.492,5.8,25.7604,29.4
CLONE,waka,Immortal 3,Sentinel,1.1383,2.6,23.3888,50.4
TracFan,FanAc,Immortal 3,Flex,0.9243,5.0,17.6677,27.6
chika,goat,Diamond 1,Flex,0.8141,2.0,16.6667,8.5
dozer,sauce,Immortal 3,Flex,0.6272,6.2,31.247,59.0
Zen,irw,Immortal 3,Initiator,0.9685,7.4,20.26,35.2
e c,777,Immortal 3,Initiator,0.9376,5.8,18.6633,61.4
RaztaMan,8639,Silver 1,Flex,1.0438,5.0,0.0,0.0
HappDad,NA1,Immortal 1,Flex,1.2808,2.6,21.4507,37.6
AimbotNeon,Hacks,Immortal 3,Flex,1.4658,3.6667,33.4046,61.6667
Galaxies,fps,Immortal 3,Sentinel,1.3309,5.2,23.1377,48.2
partykid,xox,Immortal 3,Flex,0.8658,4.8,15.1398,42.8
Prof,7903,Immortal 2,Flex,1.181,4.6,16.6069,45.6
Tays,uwu,Immortal 3,Duelist,1.8553,2.0,34.4217,32.4
Infamous,4343,Immortal 1,Flex,1.3288,4.0,20.4882,24.0
Colorswift,007,Immortal 1,Flex,0.9565,4.4,20.5016,38.4
