User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Tomathy,NA1,Silver 1,Flex,0.4081,4.0,5.1465,21.2
FinNix,Cat3,Iron 3,Initiator,2.0117,5.2,12.8167,29.0
rosie,3555,Gold 3,Flex,NaN,NaN,NaN,NaN
Escanor ,00000,Bronze 1,Flex,0.8583,4.8,7.823,23.2
JPeckz,NA1,Bronze 2,Duelist,0.7208,3.0,8.706,20.6
tketle,7638,Bronze 1,Flex,1.0637,4.0,13.3793,34.4
Roo,0069,Silver 1,Sentinel,2.2458,3.2,16.5389,36.8
roninpanda,5990,Silver 2,Flex,0.8915,4.6,8.9589,40.0
loona,42069,Bronze 1,Flex,0.67,0.6,7.4219,16.4
Piplup,5988,Iron 3,Flex,0.6086,2.0,16.3016,12.0
Hogmywarts,NA1,Bronze 2,Duelist,1.2714,3.6,21.4036,31.8
yaboy,3035,Bronze 2,Flex,1.6,0.0,11.7647,23.0
Kingginger,NA1,Bronze 1,Flex,0.9561,4.4,12.3648,27.6
CoffeeWholeMilk,777,Silver 3,Flex,2.1094,5.4,23.2116,52.6
Slig,9697,Bronze 1,Duelist,1.224,4.4,15.4346,45.2
TheGCEA,9153,Iron 3,Sentinel,1.2342,4.4,11.7012,12.2
Mexi panda79,8219,Iron 3,Duelist,0.6273,2.6,19.6337,26.0
captainbanana97,Phase,Bronze 2,Duelist,1.0743,5.0,21.4588,30.4
LiMoo,0410,Bronze 3,Flex,0.8398,6.2,0.0,0.0
Tshio,1080,Iron 3,Flex,1.0022,3.4,2.8571,7.2
XxBeNjaxX,Jett,Silver 1,Flex,1.3139,1.6,14.9193,37.2
Coriander,1381,Bronze 2,Flex,0.3792,3.0,11.4854,18.6
Twïzzy,ADot,Silver 1,Initiator,1.015,5.8,14.6514,29.2
KuhLub,5800,Bronze 1,Sentinel,0.7796,2.4,52.577,4.4
Sliccly,3979,Bronze 3,Flex,0.6267,1.6,10.5353,30.2
FriendlyGrenade,7025,Bronze 3,Initiator,1.4494,7.6,11.7007,43.8
activist,vvs,Silver 2,Initiator,2.0851,4.6,26.127,29.4
Bambi,mommy,Bronze 2,Initiator,0.96,2.4,15.4955,14.4
Falafel,Crumb,Silver 1,Flex,2.1812,2.8,10.8792,24.2
JayKasper,6853,Gold 1,Flex,1.0542,6.4,7.7628,17.2
Discord Mod,3687,Bronze 1,Duelist,2.054,3.0,28.8311,30.8
Pengu1ns8,9201,Gold 1,Sentinel,1.1133,7.6,0.0,0.0
Barofucus,NA1,Bronze 2,Duelist,1.2167,1.4,9.0651,8.4
Pato,2580,Gold 3,Flex,1.0321,3.2,9.102,19.0
PandoraLost,5480,Bronze 2,Flex,1.0163,6.8,13.1276,25.0
Wentorf,0000,Bronze 3,Initiator,2.015,6.2,22.8119,34.8
chernobyl,7780,Bronze 2,Initiator,0.8277,3.4,0.0,0.0
OFCfreeFall,2931,Iron 3,Initiator,1.4427,5.0,18.8065,23.2
Jitzera,6969,Gold 3,Flex,NaN,NaN,NaN,NaN
dizywtf,9885,Iron 3,Duelist,1.1396,4.0,9.5114,33.6
