Users,Tags,Rank,Rank Name,Ability Usage,Headshot %,Position,KD,Assists
SlowedHorse,5262,7.0,Silver 1,44.4,12.1837,Initiator,1.0977,7.8
PenguininaBlazer,4307,,NaN,43.2,19.186,Duelist,1.4485,3.0
leafsnivy300,NA1,6.0,Bronze 3,17.4,1.9876,Flex,0.957,7.2
SweetCorn,5358,8.0,Silver 2,35.6,21.7685,Flex,0.7893,5.4
LastChairBender5,NA1,7.0,Silver 1,68.0,11.4623,Flex,2.359,7.0
devilinkuss,pleb,5.0,Bronze 2,,,Flex,,
alowakbarChale,5740,,NaN,26.6,12.6965,Duelist,1.8891,2.8
CullenBeGood,8179,5.0,Bronze 2,,,Flex,,
Recon,1743,,NaN,,,Flex,,
BKBolas,NA1,6.0,Bronze 3,15.0,5.5556,Flex,1.0833,2.6667
babybeans,2233,7.0,Silver 1,26.8,11.5991,Flex,0.6738,4.8
Spectré,7972,,NaN,12.2,5.284,Duelist,0.8633,4.4
Oluvya,NA1,,NaN,18.0,12.0,Flex,0.6667,1.0
ItzMinho01,9189,8.0,Silver 2,16.2,11.6918,Duelist,0.5394,2.0
