User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
babana,peel,Platinum 2,Initiator,0.9063,5.8,21.9803,27.8
UY Scuti,52353,Diamond 3,Duelist,1.0464,3.0,14.3977,24.8
JiaL,000,Diamond 1,Sentinel,0.6345,4.8,19.0466,59.8
SeemeN,leo,Silver 3,Duelist,0.7497,5.2,12.6044,29.8
meadow,ily,Diamond 2,Duelist,0.7667,4.4,6.5824,19.0
babyDEVLIN,5500,Gold 3,Controller,1.0518,4.4,17.4435,39.0
Eric,8755,Immortal 1,Initiator,1.2171,6.2,10.5702,39.4
vivibunz,BABY,Silver 3,Flex,NaN,NaN,NaN,NaN
mase,6010,Diamond 1,Duelist,1.1803,2.0,18.1765,28.6
Dynasty,777,Silver 2,Flex,0.3846,8.0,0.0,0.0
RagingDino,NA1,Platinum 2,Flex,1.0933,2.8,15.8628,43.4
ClamboiSharty,balls,Gold 3,Flex,1.6519,1.2,19.3846,25.2
blp,6666,Immortal 1,Controller,1.1809,4.8,17.9422,35.8
QuandaviousGooch,3564,Silver 3,Flex,0.0,1.0,0.0,0.0
EwPeyZhuyOrbit,1513,Platinum 1,Duelist,0.8144,3.4,24.7557,46.4
EKKO Dame,heyy,Diamond 2,Flex,1.4375,5.0,29.2308,42.0
doom,kyvk,Diamond 3,Sentinel,1.7778,3.4,31.0387,33.0
ChickenSlice,2594,Diamond 3,Flex,0.9819,6.4,30.3209,42.8
afiggzz,3476,Diamond 3,Controller,1.4222,7.8,15.5695,43.4
Lazyturtle,8186,Diamond 1,Initiator,0.9844,5.8,16.3196,47.2
qwerty123,12312,Immortal 2,Flex,1.512,1.4,0.0,0.0
MeLuu,NA1,Bronze 2,Flex,1.1293,2.8,15.4987,46.2
Swavy,3755,Platinum 2,Flex,NaN,NaN,NaN,NaN
UltraRaglo,3126,Platinum 3,Flex,1.1457,3.4,22.7757,36.2
xXBaldinBanana34,MEOW,Immortal 2,Flex,1.0731,4.4,13.3382,24.2
ScruffiTrev,6544,Immortal 3,Sentinel,1.2943,3.2,23.9309,43.0
nastynerd1234567,dsada,Gold 3,Duelist,1.3896,3.4,20.7339,23.4
